model_id,prompt_uid,trajectory_type,layer_index,delta_true,delta_hat_unit,delta_hat_ols,err_unit,err_ols,abs_err_unit,abs_err_ols,competitor_switch
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,0,-0.982421875,-0.982421875,-0.982421875,0.0,0.0,0.0,0.0,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,1,-0.642578125,-3.1522216796875,-0.8677366882535251,-2.5096435546875,-0.22515856325352512,2.5096435546875,0.22515856325352512,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,2,1.154296875,-2.8123779296875,-0.667416378654957,-3.9666748046875,-1.821713253654957,3.9666748046875,1.821713253654957,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,3,0.873046875,-1.0155029296875,-0.3752908545219026,-1.8885498046875,-1.2483377295219027,1.8885498046875,1.2483377295219027,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,4,0.857421875,-1.6444091796875,-0.37424616067857475,-2.5018310546875,-1.2316680356785747,2.5018310546875,1.2316680356785747,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,5,1.150390625,-2.3436279296875,-0.31322422940360556,-3.4940185546875,-1.4636148544036056,3.4940185546875,1.4636148544036056,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,6,0.21240234375,-3.0281982421875,-0.3232921969910575,-3.2406005859375,-0.5356945407410575,3.2406005859375,0.5356945407410575,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,7,-0.640625,-4.7415771484375,-0.28754915445506407,-4.1009521484375,0.35307584554493593,4.1009521484375,0.35307584554493593,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,8,-1.078125,-6.1846923828125,-0.33507973978568467,-5.1065673828125,0.7430452602143154,5.1065673828125,0.7430452602143154,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,9,0.240234375,-6.6221923828125,-0.28821213863859657,-6.8624267578125,-0.5284465136385965,6.8624267578125,0.5284465136385965,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,10,-0.6953125,-5.3038330078125,-0.07777842247088984,-4.6085205078125,0.6175340775291102,4.6085205078125,0.6175340775291102,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,11,0.205078125,-6.3975830078125,-0.04301314066546798,-6.6026611328125,-0.24809126566546796,6.6026611328125,0.24809126566546796,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,12,-1.03125,-6.1729736328125,0.06454634975621103,-5.1417236328125,1.095796349756211,5.1417236328125,1.095796349756211,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,13,-0.23046875,-7.9327392578125,-0.1241242003744193,-7.7022705078125,0.1063445496255807,7.7022705078125,0.1063445496255807,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,14,-0.74609375,-7.1319580078125,-0.21414328545058872,-6.3858642578125,0.5319504645494113,6.3858642578125,0.5319504645494113,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,15,-1.43359375,-7.8858642578125,-0.22149635949345098,-6.4522705078125,1.212097390506549,6.4522705078125,1.212097390506549,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,16,-1.28125,-8.5733642578125,-0.21512445703501792,-7.2921142578125,1.066125542964982,7.2921142578125,1.066125542964982,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,17,-1.58203125,-8.4210205078125,-0.1513637607692192,-6.8389892578125,1.430667489230781,6.8389892578125,1.430667489230781,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,18,-1.94140625,-8.7218017578125,-0.15982113916886356,-6.7803955078125,1.7815851108311365,6.7803955078125,1.7815851108311365,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,19,-0.8203125,-9.0811767578125,-0.36755037162905635,-8.2608642578125,0.45276212837094365,8.2608642578125,0.45276212837094365,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,20,-0.7890625,-7.9600830078125,-0.34577431179478363,-7.1710205078125,0.44328818820521637,7.1710205078125,0.44328818820521637,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,21,-1.640625,-7.9288330078125,-0.37374178853284834,-6.2882080078125,1.2668832114671518,6.2882080078125,1.2668832114671518,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,22,-2.3046875,-10.0675048828125,-0.4546530210984253,-7.7628173828125,1.8500344789015748,7.7628173828125,1.8500344789015748,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,23,-0.578125,-10.7315673828125,-0.5061073849392801,-10.1534423828125,0.07201761506071991,10.1534423828125,0.07201761506071991,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,24,-0.921875,-10.1925048828125,-0.39792556224087183,-9.2706298828125,0.5239494377591282,9.2706298828125,0.5239494377591282,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,25,-1.53125,-10.5440673828125,-0.851933339733272,-9.0128173828125,0.679316660266728,9.0128173828125,0.679316660266728,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,26,-0.703125,-11.1534423828125,-0.9109272825974881,-10.4503173828125,-0.20780228259748812,10.4503173828125,0.20780228259748812,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::0,unstable_wrong,27,-1.3818359375,-10.3253173828125,-1.0000872191157533,-8.9434814453125,0.38174871838424673,8.9434814453125,0.38174871838424673,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,0,-2.278076171875,-2.278076171875,-2.278076171875,0.0,0.0,0.0,0.0,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,1,-2.428955078125,-5.88433837890625,-1.995288058801318,-3.45538330078125,0.433667019323682,3.45538330078125,0.433667019323682,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,2,-2.3115234375,-6.03521728515625,-1.8066171192870484,-3.72369384765625,0.5049063182129516,3.72369384765625,0.5049063182129516,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,3,-1.7158203125,-6.37481689453125,-1.7868475229089151,-4.65899658203125,-0.07102721040891513,4.65899658203125,0.07102721040891513,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,4,-0.9296875,-5.77911376953125,-1.7870283103220002,-4.84942626953125,-0.8573408103220002,4.84942626953125,0.8573408103220002,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,5,-1.5400390625,-4.99298095703125,-1.6493142322609946,-3.45294189453125,-0.1092751697609946,3.45294189453125,0.1092751697609946,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,6,-1.363525390625,-5.60333251953125,-1.6084596009979777,-4.23980712890625,-0.2449342103729777,4.23980712890625,0.2449342103729777,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,7,0.0009765625,-5.42681884765625,-1.6985195592241988,-5.42779541015625,-1.6994961217241988,5.42779541015625,1.6994961217241988,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,8,0.791015625,-4.06231689453125,-1.5010783166421335,-4.85333251953125,-2.2920939416421335,4.85333251953125,2.2920939416421335,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,9,-0.82421875,-3.27227783203125,-1.3220836308655752,-2.44805908203125,-0.49786488086557523,2.44805908203125,0.49786488086557523,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,10,-0.876953125,-4.88751220703125,-1.3698312261228265,-4.01055908203125,-0.4928781011228265,4.01055908203125,0.4928781011228265,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,11,-0.671875,-6.05548095703125,-1.3269232933999697,-5.38360595703125,-0.6550482933999697,5.38360595703125,0.6550482933999697,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,12,-0.609375,-6.18829345703125,-1.2715403655949964,-5.57891845703125,-0.6621653655949964,5.57891845703125,0.6621653655949964,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,13,-0.5234375,-6.12579345703125,-1.2362601284622967,-5.60235595703125,-0.7128226284622967,5.60235595703125,0.7128226284622967,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,14,0.42578125,-6.03985595703125,-1.0758705251188887,-6.46563720703125,-1.5016517751188887,6.46563720703125,1.5016517751188887,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,15,1.390625,-5.09063720703125,-0.8762946843917561,-6.48126220703125,-2.2669196843917563,6.48126220703125,2.2669196843917563,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,16,1.37890625,-4.12579345703125,-0.7293416595956869,-5.50469970703125,-2.1082479095956868,5.50469970703125,2.1082479095956868,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,17,0.880859375,-4.13751220703125,-0.5974134756550886,-5.01837158203125,-1.4782728506550886,5.01837158203125,1.4782728506550886,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,18,0.7890625,-4.63555908203125,-0.5945583857820983,-5.42462158203125,-1.3836208857820984,5.42462158203125,1.3836208857820984,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,19,2.01953125,-5.10040283203125,-0.5481796181473477,-7.11993408203125,-2.5677108681473477,7.11993408203125,2.5677108681473477,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,20,2.33984375,-4.65997314453125,-0.2425183677090228,-6.99981689453125,-2.582362117709023,6.99981689453125,2.582362117709023,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,21,0.142578125,-4.33966064453125,0.006545969707302091,-4.48223876953125,-0.1360321552926979,4.48223876953125,0.1360321552926979,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,22,0.3125,-7.22149658203125,0.09802225934970372,-7.53399658203125,-0.2144777406502963,7.53399658203125,0.2144777406502963,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,23,0.1328125,-8.13360595703125,-0.04438798807085413,-8.26641845703125,-0.17720048807085415,8.26641845703125,0.17720048807085415,1
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,24,-1.3515625,-9.36016845703125,0.1192002899611641,-8.00860595703125,1.4707627899611642,8.00860595703125,1.4707627899611642,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,25,-1.6171875,-10.84454345703125,0.09640778108149987,-9.22735595703125,1.7135952810814998,9.22735595703125,1.7135952810814998,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,26,-0.7265625,-11.11016845703125,0.06323877336536164,-10.38360595703125,0.7898012733653617,10.38360595703125,0.7898012733653617,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::1,stable_wrong,27,-1.607421875,-10.21954345703125,0.20055932689165962,-8.61212158203125,1.8079812018916597,8.61212158203125,1.8079812018916597,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10,unstable_wrong,0,-2.9716796875,-2.9716796875,-2.9716796875,0.0,0.0,0.0,0.0,0
Qwen/Qwen2.5-7B-Instruct,main::plain_exam::mmlu::test::10,unstable_wrong,1,-2.791015625,-7.27154541015625,-2.6749229451419927,-4.48052978515625,0.11609267985800731,4.48052978515625,0.11609267985800731,0
